date,open,high,low,close,volume,amount
2024-01-02,99.65,101.07,98.53,100.89,1011316.0,102031671.24
2024-01-03,100.97,101.18,99.33,100.11,1126300.0,112753893.0
2024-01-04,99.75,102.77,98.02,101.35,1137369.0,115272348.14999999
2024-01-05,101.84,102.1,100.75,100.91,1026629.0,103597132.39
2024-01-08,101.12,102.04,100.28,101.93,1159798.0,118218210.14
2024-01-09,101.67,102.82,100.46,101.84,1006894.0,102542084.96000001
2024-01-10,101.47,102.14,101.04,101.55,1196358.0,121490154.89999999
2024-01-11,101.33,102.93,101.12,101.87,1248517.0,127186426.79
2024-01-12,102.31,103.24,101.25,102.47,1066230.0,109256588.1
2024-01-15,101.99,102.71,100.9,102.34,1263686.0,129325625.24000001
2024-01-16,102.08,103.08,101.4,101.85,1247553.0,127063273.05
2024-01-17,102.25,103.63,101.44,103.45,1210709.0,125247846.05
2024-01-18,103.78,105.4,103.42,103.57,1171502.0,121332462.13999999
2024-01-19,103.3,105.89,102.39,104.08,1085036.0,112930546.88
2024-01-22,104.1,106.94,103.21,105.49,1063706.0,112210345.94
2024-01-23,105.06,105.6,104.41,105.01,1183195.0,124247306.95
2024-01-24,105.02,108.02,103.36,106.5,1250876.0,133218294.0
2024-01-25,106.02,108.6,104.59,107.88,1215429.0,131120480.52
2024-01-26,108.38,108.92,107.19,108.7,1336896.0,145320595.20000002
2024-01-29,108.2,110.06,106.51,109.21,1110733.0,121303150.92999999
2024-01-30,109.69,111.51,106.98,108.27,1150601.0,124575570.27
2024-01-31,108.37,109.51,106.73,108.43,1072359.0,116275886.37
2024-02-01,108.45,109.92,106.59,108.51,1140690.0,123776271.9
2024-02-02,108.31,109.99,105.55,107.18,1140647.0,122254545.46000001
2024-02-05,107.16,107.89,105.27,107.06,1140173.0,122066921.38
2024-02-06,107.24,107.98,106.59,106.96,1037942.0,111018276.32
2024-02-07,107.04,108.37,106.14,106.26,1123158.0,119346769.08000001
2024-02-08,105.81,107.67,105.34,106.44,1186565.0,126297978.6
2024-02-09,106.11,108.03,105.81,106.48,1002437.0,106739491.76
2024-02-12,106.5,107.85,104.67,105.82,940756.0,99550799.91999999
2024-02-13,105.91,106.62,105.49,105.82,1024291.0,108390473.61999999
2024-02-14,106.25,108.12,103.85,104.29,883000.0,92088070.0
2024-02-15,104.23,106.01,102.94,103.71,963821.0,99957875.91
2024-02-16,104.09,104.42,101.36,102.81,1075885.0,110611736.85000001
2024-02-19,102.71,104.27,101.03,102.65,892337.0,91598393.05000001
2024-02-20,102.21,102.79,100.53,101.34,832424.0,84357848.16
2024-02-21,101.67,102.44,99.5,101.13,770970.0,77968196.1
2024-02-22,101.34,102.2,98.77,100.33,730316.0,73272604.28
2024-02-23,100.81,102.79,99.19,101.35,877559.0,88940604.64999999
2024-02-26,101.43,101.63,99.97,100.34,685877.0,68820898.18
2024-02-27,100.33,102.45,99.12,101.5,901778.0,91530467.0
2024-02-28,101.61,102.26,100.05,100.47,756391.0,75994603.77
2024-02-29,100.65,102.01,99.24,100.79,693628.0,69910766.12
2024-03-01,100.68,100.85,100.03,100.29,731542.0,73366347.18
2024-03-04,99.84,102.25,98.44,101.61,689309.0,70040687.49
2024-03-05,101.65,103.19,100.2,101.8,758675.0,77233115.0
2024-03-06,101.39,103.29,99.94,102.11,796987.0,81380342.57
2024-03-07,101.61,103.8,100.34,102.29,758708.0,77608241.32000001
2024-03-08,101.96,103.74,101.43,101.65,690829.0,70222767.85000001
2024-03-11,101.4,102.73,99.97,102.56,823620.0,84470467.2
2024-03-12,102.85,105.64,102.53,104.04,715150.0,74404206.0
2024-03-13,104.33,105.29,103.42,104.08,738709.0,76884832.72
2024-03-14,103.92,105.76,103.18,103.49,795502.0,82326501.97999999
2024-03-15,103.3,103.84,103.14,103.4,902479.0,93316328.60000001
2024-03-18,102.92,104.25,101.64,103.49,1026422.0,106224412.78
2024-03-19,103.97,106.32,103.44,104.61,996753.0,104270331.33
2024-03-20,105.08,107.48,104.93,105.75,965476.0,102099087.0
2024-03-21,106.17,107.02,105.0,105.17,1026160.0,107921247.2
2024-03-22,104.79,105.52,103.04,104.87,1030169.0,108033823.03
2024-03-25,104.46,106.4,103.43,105.0,1147969.0,120536745.0
2024-03-26,104.77,105.85,103.52,105.69,1185322.0,125276682.17999999
2024-03-27,106.11,107.27,103.23,104.98,973875.0,102237397.5
2024-03-28,104.82,106.71,103.6,105.73,1005628.0,106325048.44
2024-03-29,105.57,106.67,103.9,104.79,1124486.0,117834887.94000001
2024-04-01,104.34,105.41,102.77,103.88,1217675.0,126492079.0
2024-04-02,104.15,105.42,101.68,102.64,1241240.0,127400873.6
2024-04-03,102.51,103.95,101.04,102.21,1047556.0,107070698.75999999
2024-04-04,102.28,103.9,101.52,102.96,1135207.0,116880912.72
2024-04-05,103.29,103.7,100.98,102.79,1090972.0,112141011.88000001
2024-04-08,102.83,103.85,101.39,101.7,1172267.0,119219553.9
2024-04-09,101.24,101.7,99.3,101.0,1292859.0,130578759.0
2024-04-10,100.85,101.57,100.27,100.43,1103953.0,110869999.79
2024-04-11,99.97,101.09,98.62,99.23,1289404.0,127947558.92
2024-04-12,98.8,99.87,97.87,99.1,1197553.0,118677502.3
2024-04-15,99.0,100.24,98.75,99.92,1290573.0,128954054.16
2024-04-16,99.85,100.98,99.68,100.57,1123487.0,112989087.58999999
2024-04-17,100.08,101.69,99.26,100.85,1298174.0,130920847.89999999
2024-04-18,100.86,102.05,98.83,100.05,1288761.0,128940538.05
2024-04-19,99.83,100.24,97.56,99.01,1313836.0,130082902.36
2024-04-22,99.07,101.24,98.61,99.75,1061816.0,105916146.0
2024-04-23,99.65,100.92,99.06,99.72,1004727.0,100191376.44
2024-04-24,99.37,100.42,97.17,98.65,992370.0,97897300.5
2024-04-25,98.67,99.1,97.33,98.14,1159690.0,113811976.6
2024-04-26,97.69,100.0,96.3,99.21,1045710.0,103744889.1
2024-04-29,99.01,101.26,98.37,99.98,1113056.0,111283338.88000001
2024-04-30,100.17,101.71,99.01,101.3,1135139.0,114989580.7
2024-05-01,101.55,102.55,101.41,101.68,895683.0,91073047.44000001
2024-05-02,101.42,102.0,99.82,101.05,925710.0,93542995.5
2024-05-03,101.33,103.08,100.56,101.47,898211.0,91141470.17
2024-05-06,101.67,103.97,100.85,102.9,1098153.0,112999943.7
2024-05-07,102.88,103.84,102.49,103.55,877702.0,90886042.1
2024-05-08,103.44,105.07,102.5,102.89,1009840.0,103902437.6
2024-05-09,103.32,105.7,102.77,104.45,797933.0,83344101.85000001
2024-05-10,104.48,106.73,103.32,105.14,834225.0,87710416.5
2024-05-13,104.91,105.9,103.76,105.34,826698.0,87084367.32000001
2024-05-14,105.54,106.83,105.07,105.73,903668.0,95544817.64
2024-05-15,105.56,107.84,104.81,106.06,916888.0,97245141.28
2024-05-16,105.9,107.2,104.02,106.83,759984.0,81189090.72
2024-05-17,107.02,107.45,106.22,107.33,778106.0,83514116.98
2024-05-20,106.92,107.29,105.39,106.22,814612.0,86528086.64
2024-05-21,106.61,107.88,106.28,107.04,849829.0,90965696.16000001
2024-05-22,107.25,108.41,106.74,107.17,840295.0,90054415.15
2024-05-23,106.99,107.75,106.22,107.42,902477.0,96944079.34
2024-05-24,107.93,108.91,106.43,108.45,716101.0,77661153.45
2024-05-27,108.92,110.06,105.81,107.35,662937.0,71166286.95
2024-05-28,107.3,108.18,106.45,107.43,683438.0,73421744.34
2024-05-29,107.8,109.5,106.34,106.96,682660.0,73017313.6
2024-05-30,106.72,107.57,105.16,105.6,777465.0,82100304.0
2024-05-31,105.48,107.85,105.21,106.14,926190.0,98305806.6
2024-06-03,106.18,107.34,105.65,107.05,954309.0,102158778.45
2024-06-04,106.92,107.42,105.28,105.93,988290.0,104689559.7
2024-06-05,105.46,106.17,103.73,105.78,831401.0,87945597.78
2024-06-06,105.77,107.04,103.94,105.39,990555.0,104394591.45
2024-06-07,105.2,105.75,103.75,105.32,768900.0,80980548.0
